"AddressFinishButton","Last ned avdrag alternativ"
"Fn","Foretak"
"Pn","Privatperson"



"CreateSuccess","Kjøpet fullført."
"CreateFailed","Kjøpet ble stanset. Dette kan skyldes en feil i personnummer."
"CommonConfirmed","Betaling fullført."
"CommonFailed","Betaling mislyktes."
"CommonSecurityNr - %s","Personnummer - %s"
"CommonPaymentMethod - %s","Betalingsmåte - %s"



"LabelPhone","Telefonnummer"
"LabelEmail","E-post"
"LabelSecurityNumber","Personnummer/Org. nummer"
"LabelInvoiceAddress","Leveringsadresse"
"LabelAddressSelect","Velg den adresse som skal brukes"



"InitialFee","Oppstartsgebyr"
"MonthlyAnnuity","Du skal betale dette hver måned"


"SelectAddressFromListAbove","Velg en adresse fra listen ovenfor."
"AddressButton","Søk etter en leveringsadresse" 
"AddressInformationDefault","Kunne ikke finne en leveringsadresse, kontroller om personnummer er korrekt."
"LabelPartpaymentOptions","Betalingsplansalternativer"
"LabelPartpaymentOption","Betalingsplansinformasjon"
"PartpaymentInformationDefault","Ingen  betalingsplansalternativer ble funnet. Det samlede ordrebeløp kan være for lavt. Kontakt butikken hvis dette er tilfelle."
"PartpaymentOptionInformationStart","Velg ønsket betalingsplan."



"CreatePaymentplanCustomerCreditRejected","Avslag på kredittopplysingen"
"CreatePaymentplanCustomerOverCreditLimit","Kredittgrense overskredet."
"CreatePaymentplanCustomerAbuseBlock","Kunden er blokkert eller har vist en  uvanlig kjøpsadferd."
"CreatePaymentplanClientOverCreditLimit","Ordren fører til at oppdragsgiver overstiger sin kredittlimit hos Svea"
"CreatePaymentplanPaymentPlanIsCancelled","Betalingsplaner er stengt"
"CreatePaymentplanOverOrderLimit","Kredittgrensen for enkeltlån er overskredet."
"CreatePaymentplanCustomerSveaRejected","Avslag pga. at kunden har dårlig historikk hos Svea"
"CreatePaymentplanCustomerCreditNoSuchEntity","Den personen / bedriften eksisterer ikke hos kredittopplysningsleverandøren."
"CreatePaymentplanInvalidCampainCodeAmountCombination","Kombinasjonen av kampanje-kode og beløp er feilaktig. Kan intreffe om f.eks kampanjekoden som angis ikke finnes, eller dersom det angitte beløpet er for høyt/lavt for den valgte kampanjekoden."
"CreatePaymentplanError","Ordre avvist. Dette kan skyldes feil personnummer."



"CreateOrderCusomterCreditRejected","Avslag på kredittopplysingen"
"CreateOrderCustomerOverCreditLimit","Ordren fører til at kunden overskreder kredittlimiten hos dere eller hos Svea."
"CreateOrderCustomerAbuseBlock","Kunden er blokkert, eller har oppvist en uvanlig kjøpsadferd."
"CreateOrderOrderExpired","Ordren er for gammel."
"CreateOrderClientOverCreditLimit","Ordren fører til at oppdragsgiver overskreder kredittlimiten hos Svea."
"CreateOrderOrderOverSveaLimit","Ordren overskreder det høyeste tillatte ordrebeløp hos Svea."
"CreateOrderOrderOverClientLimit","Ordren overskreder det høyeste tillatte ordrebeløpet hos dere."
"CreateOrderCustomerSveaRejected","Kunden har dårlig historikk hos Svea."
"CreateOrderCustomerCreditNoSuchEntity","Kunden eksisterer ikke hos kredittopplysingsleverandøren."
"CreateOrderError","Ordre avvist. Dette kan skyldes feil personnummer."



"FailedToApprovePaymentplanWithRejectionCode","Ordre ikke godkjent med årsakskode"
"ApprovePaymentplanPaymentPlanDoesNotExist","Betalingsplanen finnes ikke."
"ApprovePaymentplanWrongStatus","Betalingsplanen har en status som gjør det umulig å stenge den."



"FailedToCreateInvoiceWithRejectionCode","Misslyktes med å lage faktura med avslagskode."
"CreateInvoiceNotAuthorized","Ordren mangler godkjent kredittopplysing."
"CreateInvoiceExpired","Ordren er for gammel. (Ordre løper ut etter 60 dager.)"
"CreateInvoiceOverAuthorizedAmount","Fakturabeløpet er større enn fakturalimit som er tilgjengelig på ordren."
"CreateInvoiceOrderIsClosed","Ordren er stengt."
"CreateInvoiceCreditInvoiceNotInOrder","Den faktura som dere prøvd å kreditere tilhører ikke den aktuelle ordren."
"CreateInvoiceCreditAmountTooHigh","Beløpet som dere prøvd å kreditere er for stort."



"FailedWithSaveOrCaptureOnline","Registrering gjennom Svea Ekonomi web service mislyktes."

"PartpaymentCampainsLabel","Fråaan %s Nkr / månad"
"PartpaymentCampainsLabelSum","Summaa"
"PartpaymentCampainsLabelMonth","Månaad"
"PartpaymentCampainsLabelAfterMonth","To pay after %s months"
"PartpaymentCampainsLabelAfterLabel","Other options"