"AddressFinishButton","Hämta delbetalningsalternativ"
"Fn","Företag"
"Pn","Privat"



"CreateSuccess","Köpet gick igenom."
"CreateFailed","Köpet gick inte igenom. Detta kan bero på felaktigt personnummer."
"CommonConfirmed","Betalningen genomförd"
"CommonFailed","Betalningen misslyckades"
"CommonSecurityNr - %s","Perssonnummer - %s"
"CommonPaymentMethod - %s","Betalnings metod - %s"



"LabelPhone","Telefonnummer"
"LabelEmail","E-post"
"LabelSecurityNumber","Personnummer/Org. nummer"
"LabelInvoiceAddress","Leveransadress"
"LabelAddressSelect","Välj en adress att använda."



"InitialFee","Uppläggningsavgift"
"MonthlyAnnuity","Att betala per månad"


"SelectAddressFromListAbove","Välj en adress ifrån listan åvan."
"AddressButton","Hitta leveransadress" 
"AddressInformationDefault","Adress kunde inte hittas, kontrollera ditt personnummer/org. nummer."
"LabelPartpaymentOptions","Delbetalningsalternativ"
"LabelPartpaymentOption","Delbetalningsinformation"
"PartpaymentInformationDefault","Inga betalningsalternativ kunde hittas. Ordersumman kan vara för låg, var vänlig kontakta butiken."
"PartpaymentOptionInformationStart"," Välj delbetalningsalternativ"



"CreatePaymentplanCustomerCreditRejected","Avslag på kreditupplysningen."
"CreatePaymentplanCustomerOverCreditLimit","Kreditgränsen överskriden."
"CreatePaymentplanCustomerAbuseBlock","Kunden är blockerad eller har uppvisat ett märkligt/ovanligt beteende."
"CreatePaymentplanClientOverCreditLimit","Uppdragsgivarens kreditgräns överskriden."
"CreatePaymentplanPaymentPlanIsCancelled","Betalningsplanen är stängd."
"CreatePaymentplanOverOrderLimit","Kreditgränsen för enstaka lån är överskriden"
"CreatePaymentplanCustomerSveaRejected","Avslag pga av kredithistorik hos Svea"
"CreatePaymentplanCustomerCreditNoSuchEntity","Personen/Företaget finns inte i kreditupplysningsföretagets register"
"CreatePaymentplanInvalidCampainCodeAmountCombination","Kombinationen av kampanjkod och belopp är felaktig. Kan inträffa t ex om kampanjkoden som anges inte finns eller om det angiva beloppet är för högt/lågt för den kampanjkoden."
"CreatePaymentplanError","Köpet gick inte igenom. Detta kan bero på felaktigt personnummer."



"CreateOrderCusomterCreditRejected","Kredit medges ej av Svea"
"CreateOrderCustomerOverCreditLimit","The order would cause the customer to exceed your or Svea's credit limit."
"CreateOrderCustomerAbuseBlock","Kunden är spärrad eller har betett sig misstänksamt."
"CreateOrderOrderExpired","Ordern är för gammal och kan ej längre faktureras på."
"CreateOrderClientOverCreditLimit","Ordern skulle överskrida kundens kreditgräns hos Svea."
"CreateOrderOrderOverSveaLimit","Ordern överskrider Sveas maximala ordersumma."
"CreateOrderOrderOverClientLimit","Ordern överskrider kundens maximala ordersumma."
"CreateOrderCustomerSveaRejected","Kunden nekades köp hos Svea pga låg kreditvärdiget."
"CreateOrderCustomerCreditNoSuchEntity","Kunden hittades inte hos kreditupplyningsleverantören."
"CreateOrderError","Köpet gick inte igenom. Detta kan bero på felaktigt personnummer."



"FailedToApprovePaymentplanWithRejectionCode","Kunde inte skapa betalningsplanen, felkod"
"ApprovePaymentplanPaymentPlanDoesNotExist","Betalningsplanen finns inte."
"ApprovePaymentplanWrongStatus","Betalningsplanen kan inte godkännas."



"FailedToCreateInvoiceWithRejectionCode","Kunde inte skapa fakturan, felkod"
"CreateInvoiceNotAuthorized","Ordern saknar godkänd kreditupplysning."
"CreateInvoiceExpired","Ordern är för gammal (En order går ut efter 60 dagar som standard)."
"CreateInvoiceOverAuthorizedAmount","Fakturabeloppet är större än det fakturautrymme som finns på ordern."
"CreateInvoiceOrderIsClosed","Ordern är stängd"
"CreateInvoiceCreditInvoiceNotInOrder","Den faktura som försöks krediteras tillhör inte den aktuella ordern."
"CreateInvoiceCreditAmountTooHigh","Beloppet som försöks krediteras är för stort."



"FailedWithSaveOrCaptureOnline","Misslyckades med processen."

"PartpaymentCampainsLabel","Från %s kr / månad"
"PartpaymentCampainsLabelSum","Summa"
"PartpaymentCampainsLabelMonth","Månad"
"PartpaymentCampainsLabelAfterMonth","Att betala efter %s månader"
"PartpaymentCampainsLabelAfterLabel","Andra alternativ"